developer,price,Año
3D Realms (Apogee Software),0.0,1990
3D Realms (Apogee Software),0.0,1990
3D Realms (Apogee Software),0.0,1991
3D Realms (Apogee Software),0.0,1993
4th cluster,0.0,2017
4th cluster,0.0,2017
AIGRIND,0.0,2017
AIGRIND,0.0,2017
ALICE IN DISSONANCE,0.0,0
ALICE IN DISSONANCE,0.0,2015
AMPLITUDE Studios,0.0,2017
AMPLITUDE Studios,0.0,2017
AMPLITUDE Studios,0.0,2017
AMPLITUDE Studios,0.0,2017
AMPLITUDE Studios,0.0,2017
AMPLITUDE Studios,0.0,2015
AMPLITUDE Studios,0.0,2015
AMPLITUDE Studios,0.0,2017
AMPLITUDE Studios,0.0,2017
AMPLITUDE Studios,0.0,2015
"ARC SYSTEM WORKS Co., Ltd.,TOYBOX Inc.",0.0,2017
"ARC SYSTEM WORKS Co., Ltd.,TOYBOX Inc.",0.0,2017
"Acram Digital,Mobo Studio",0.0,2017
"Acram Digital,Mobo Studio",0.0,2017
Adhoc Games,0.0,2015
Adhoc Games,0.0,2016
Alan Edwardes,0.0,2014
Alan Edwardes,0.0,2017
Albatros Softworks,0.0,2017
Albatros Softworks,0.0,2017
Albatros Softworks,0.0,2017
Alice &amp; Smith,0.0,2015
Alice &amp; Smith,0.0,2017
Allegorithmic,0.0,2017
Allegorithmic,0.0,2016
Allods Team,0.0,2017
Allods Team,0.0,2017
AlternativaPlatform,0.0,2017
AlternativaPlatform,0.0,2017
Amaterasu Software,0.0,2017
Amaterasu Software,0.0,2017
Andrii Vintsevych,0.0,2009
Andrii Vintsevych,0.0,2017
André Bertaglia,0.0,2016
André Bertaglia,0.0,2017
Animu Game,0.0,2015
Animu Game,0.0,2015
Ankama Studio,0.0,2016
Ankama Studio,0.0,2015
Ankama Studio,0.0,2017
Ankama Studio,0.0,2014
Anvate Games,0.0,2012
Anvate Games,0.0,2015
Aratog LLC,0.0,2016
Aratog LLC,0.0,2015
Artefacts Studio,0.0,2016
Artefacts Studio,0.0,2016
"Artizens, Inc.",0.0,2015
"Artizens, Inc.",0.0,2015
"Arttu Tuovinen,Alan Bourhis,Michael Callaghan",0.0,2017
"Arttu Tuovinen,Alan Bourhis,Michael Callaghan",0.0,2017
Artur Rezende,0.0,2017
Artur Rezende,0.0,2017
"Atom Switch, Inc.",0.0,2017
"Atom Switch, Inc.",0.0,2017
"Atom Switch, Inc.",0.0,2017
BANDAI NAMCO Studios Inc.,0.0,2017
BANDAI NAMCO Studios Inc.,0.0,2017
BANDAI NAMCO Studios Inc.,0.0,2017
BANDAI NAMCO Studios Inc.,0.0,2017
BANDAI NAMCO Studios Inc.,0.0,2017
Bacq Stellan,0.0,2015
Bacq Stellan,0.0,2017
Beamdog,0.0,0
Beamdog,0.0,0
Beamdog,0.0,0
Beamdog,0.0,0
Beamdog,0.0,0
Beamdog,0.0,0
Beamdog,0.0,0
Bethesda Game Studios,0.0,2017
Bethesda Game Studios,0.0,2017
Bethesda Game Studios,0.0,2017
Bethesda Game Studios,0.0,2017
Big Ant Studios,0.0,2014
Big Ant Studios,0.0,2016
Big Ant Studios,0.0,2014
Big Fish Games,0.0,2016
Big Fish Games,0.0,2016
"Binary Zoo,The Game Creators",0.0,2017
"Binary Zoo,The Game Creators",0.0,2015
Black Fox Pavilion,0.0,2017
Black Fox Pavilion,0.0,2017
Black Shell Games,0.0,2015
Black Shell Games,0.0,2014
Blue Byte,0.0,2010
Blue Byte,0.0,2015
Blue Byte,0.0,2013
BlueLine Games,0.0,2015
BlueLine Games,0.0,2018
Bluehole Ginno Games,0.0,2016
Bluehole Ginno Games,0.0,2015
Boomzap Entertainment,0.0,2016
Boomzap Entertainment,0.0,2017
"CAPCOM Co., Ltd.",0.0,2017
"CAPCOM Co., Ltd.",0.0,2017
"CAPCOM Co., Ltd.",0.0,2017
"CAPCOM Co., Ltd.",0.0,2017
"CAPCOM Co., Ltd.",0.0,2017
"CAPCOM Co., Ltd.",0.0,2017
"CAPCOM Co., Ltd.",0.0,2016
"CAPCOM Co., Ltd.",0.0,2016
"CINEMAX, s.r.o.",0.0,2017
"CINEMAX, s.r.o.",0.0,2017
Camex Games,0.0,2017
Camex Games,0.0,2017
Capcom,0.0,2017
Capcom,0.0,2016
Capcom Vancouver,0.0,2012
Capcom Vancouver,0.0,2012
Capcom Vancouver,0.0,2012
Capcom Vancouver,0.0,2012
Carbon Studio,0.0,2016
Carbon Studio,0.0,2016
Carbon Studio,0.0,2016
"Chasing Carrots,Schnack Music Manufacture",0.0,2017
"Chasing Carrots,Schnack Music Manufacture",0.0,2015
Choice of Games,0.0,2014
Choice of Games,0.0,2015
Choice of Games,0.0,2015
Choice of Games,0.0,2014
Choice of Games,0.0,2015
Choice of Games,0.0,2014
Choice of Games,0.0,2013
Choice of Games,0.0,2015
Choice of Games,0.0,2015
Choice of Games,0.0,2013
Choice of Games,0.0,2015
Choice of Games,0.0,2015
Choice of Games,0.0,2012
Choice of Games,0.0,2012
Choice of Games,0.0,2015
Choice of Games,0.0,2014
Choice of Games,0.0,2013
Choice of Games,0.0,2015
Choice of Games,0.0,2013
Choice of Games,0.0,2015
Choice of Games,0.0,2015
Choice of Games,0.0,2014
Cipher Hive,0.0,2017
Cipher Hive,0.0,2017
CivilSavages,0.0,2016
CivilSavages,0.0,2016
"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",0.0,2014
"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",0.0,2014
Codename Entertainment Inc.,0.0,2015
Codename Entertainment Inc.,0.0,2017
Codex Worlds,0.0,2016
Codex Worlds,0.0,0
Coffee Stain Studios,0.0,2014
Coffee Stain Studios,0.0,2012
Coffee Stain Studios,0.0,2011
